mDM              Log[10,x]              e          \[Mu]          \[Tau]          q          c          b          t          W          Z          g          h
10              0.0000000010593                0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000000011885                0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000000013335                0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000000014962                0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000000016788                0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000000018836                0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000000021135                0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000000023714                0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000000026607                0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000000029854                0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000000033497                0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000000037584                0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000000042170                0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000000047315                0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000000053088                0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000000059566                0.000000          0.000000          0.000000          0.000003          0.000000          0.000000          0.000000          0.000000          0.000000          0.000003          0.000000
10              0.0000000066834                0.000000          0.000000          0.000000          0.000003          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000000074989                0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000003          0.000000
10              0.0000000084140                0.000000          0.000000          0.000000          0.000000          0.000003          0.000000          0.000000          0.000000          0.000000          0.000003          0.000000
10              0.0000000094406                0.000000          0.000000          0.000000          0.000000          0.000003          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000000105930                0.000000          0.000000          0.000000          0.000003          0.000000          0.000003          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000000118850                0.000000          0.000000          0.000000          0.000003          0.000000          0.000000          0.000000          0.000000          0.000000          0.000007          0.000000
10              0.0000000133350                0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000013          0.000000
10              0.0000000149620                0.000000          0.000000          0.000000          0.000003          0.000000          0.000000          0.000000          0.000000          0.000000          0.000003          0.000000
10              0.0000000167880                0.000000          0.000000          0.000000          0.000007          0.000010          0.000000          0.000000          0.000000          0.000000          0.000010          0.000000
10              0.0000000188360                0.000000          0.000000          0.000000          0.000000          0.000003          0.000000          0.000000          0.000000          0.000000          0.000007          0.000000
10              0.0000000211350                0.000000          0.000000          0.000000          0.000007          0.000007          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000000237140                0.000000          0.000000          0.000000          0.000003          0.000000          0.000000          0.000000          0.000000          0.000000          0.000023          0.000000
10              0.0000000266070                0.000000          0.000000          0.000000          0.000013          0.000013          0.000000          0.000000          0.000000          0.000000          0.000017          0.000000
10              0.0000000298540                0.000000          0.000000          0.000000          0.000007          0.000007          0.000003          0.000000          0.000000          0.000000          0.000027          0.000000
10              0.0000000334970                0.000000          0.000000          0.000000          0.000003          0.000010          0.000007          0.000000          0.000000          0.000000          0.000017          0.000000
10              0.0000000375840                0.000000          0.000000          0.000000          0.000007          0.000010          0.000003          0.000000          0.000000          0.000000          0.000040          0.000000
10              0.0000000421700                0.000000          0.000000          0.000000          0.000020          0.000003          0.000000          0.000000          0.000000          0.000000          0.000047          0.000000
10              0.0000000473150                0.000000          0.000000          0.000000          0.000020          0.000013          0.000003          0.000000          0.000000          0.000000          0.000037          0.000000
10              0.0000000530880                0.000000          0.000000          0.000000          0.000013          0.000010          0.000017          0.000000          0.000000          0.000000          0.000047          0.000000
10              0.0000000595660                0.000000          0.000000          0.000000          0.000030          0.000017          0.000007          0.000000          0.000000          0.000000          0.000043          0.000000
10              0.0000000668340                0.000000          0.000000          0.000000          0.000040          0.000027          0.000017          0.000000          0.000000          0.000000          0.000053          0.000000
10              0.0000000749890                0.000000          0.000000          0.000000          0.000013          0.000037          0.000023          0.000000          0.000000          0.000000          0.000060          0.000000
10              0.0000000841400                0.000000          0.000000          0.000000          0.000033          0.000037          0.000040          0.000000          0.000000          0.000000          0.000087          0.000000
10              0.0000000944060                0.000000          0.000000          0.000000          0.000033          0.000063          0.000037          0.000000          0.000000          0.000000          0.000083          0.000000
10              0.0000001059300                0.000000          0.000000          0.000000          0.000047          0.000027          0.000023          0.000000          0.000000          0.000000          0.000087          0.000000
10              0.0000001188500                0.000000          0.000000          0.000000          0.000060          0.000060          0.000023          0.000000          0.000000          0.000000          0.000167          0.000000
10              0.0000001333500                0.000000          0.000000          0.000000          0.000097          0.000067          0.000070          0.000000          0.000000          0.000000          0.000150          0.000000
10              0.0000001496200                0.000000          0.000003          0.000000          0.000067          0.000070          0.000060          0.000000          0.000000          0.000000          0.000170          0.000000
10              0.0000001678800                0.000000          0.000000          0.000000          0.000087          0.000077          0.000037          0.000000          0.000000          0.000000          0.000193          0.000000
10              0.0000001883600                0.000000          0.000000          0.000000          0.000127          0.000130          0.000063          0.000000          0.000000          0.000000          0.000277          0.000000
10              0.0000002113500                0.000000          0.000000          0.000000          0.000153          0.000127          0.000103          0.000000          0.000000          0.000000          0.000330          0.000000
10              0.0000002371400                0.000000          0.000003          0.000000          0.000157          0.000120          0.000117          0.000000          0.000000          0.000000          0.000387          0.000000
10              0.0000002660700                0.000000          0.000000          0.000003          0.000203          0.000167          0.000110          0.000000          0.000000          0.000000          0.000377          0.000000
10              0.0000002985400                0.000000          0.000000          0.000000          0.000267          0.000207          0.000143          0.000000          0.000000          0.000000          0.000507          0.000000
10              0.0000003349700                0.000000          0.000000          0.000000          0.000247          0.000300          0.000143          0.000000          0.000000          0.000000          0.000700          0.000000
10              0.0000003758400                0.000000          0.000000          0.000000          0.000337          0.000307          0.000173          0.000000          0.000000          0.000000          0.000663          0.000000
10              0.0000004217000                0.000000          0.000000          0.000000          0.000407          0.000320          0.000237          0.000000          0.000000          0.000000          0.000900          0.000000
10              0.0000004731500                0.000000          0.000000          0.000000          0.000493          0.000430          0.000257          0.000000          0.000000          0.000000          0.001000          0.000000
10              0.0000005308800                0.000000          0.000000          0.000003          0.000547          0.000480          0.000387          0.000000          0.000000          0.000000          0.001210          0.000000
10              0.0000005956600                0.000000          0.000003          0.000000          0.000677          0.000637          0.000367          0.000000          0.000000          0.000000          0.001527          0.000000
10              0.0000006683400                0.000000          0.000000          0.000000          0.000920          0.000720          0.000417          0.000000          0.000000          0.000000          0.001740          0.000000
10              0.0000007498900                0.000000          0.000000          0.000000          0.000983          0.000793          0.000633          0.000000          0.000000          0.000000          0.001993          0.000000
10              0.0000008414000                0.000000          0.000000          0.000000          0.001137          0.000937          0.000620          0.000000          0.000000          0.000000          0.002450          0.000000
10              0.0000009440600                0.000000          0.000000          0.000003          0.001477          0.001063          0.000767          0.000000          0.000000          0.000000          0.002697          0.000000
10              0.0000010593000                0.000000          0.000003          0.000000          0.001553          0.001310          0.000890          0.000000          0.000000          0.000000          0.003360          0.000000
10              0.0000011885000                0.000000          0.000000          0.000000          0.001820          0.001550          0.001063          0.000000          0.000000          0.000000          0.003800          0.000000
10              0.0000013335000                0.000000          0.000000          0.000000          0.002247          0.001737          0.001213          0.000000          0.000000          0.000000          0.004630          0.000000
10              0.0000014962000                0.000000          0.000007          0.000007          0.002680          0.002310          0.001613          0.000000          0.000000          0.000000          0.005720          0.000000
10              0.0000016788000                0.000000          0.000000          0.000003          0.003150          0.002690          0.001833          0.000000          0.000000          0.000000          0.006593          0.000000
10              0.0000018836000                0.000000          0.000003          0.000010          0.003860          0.003010          0.002277          0.000000          0.000000          0.000000          0.007620          0.000000
10              0.0000021135000                0.000003          0.000000          0.000000          0.004373          0.003727          0.002597          0.000000          0.000000          0.000000          0.009080          0.000000
10              0.0000023714000                0.000000          0.000000          0.000003          0.004937          0.004347          0.003163          0.000000          0.000000          0.000000          0.010917          0.000000
10              0.0000026607000                0.000000          0.000013          0.000000          0.006030          0.005530          0.003560          0.000000          0.000000          0.000000          0.012713          0.000000
10              0.0000029854000                0.000000          0.000020          0.000007          0.007310          0.006220          0.003933          0.000000          0.000000          0.000000          0.014940          0.000000
10              0.0000033497000                0.000000          0.000020          0.000010          0.008197          0.006953          0.004877          0.000000          0.000000          0.000000          0.017070          0.000000
10              0.0000037584000                0.000000          0.000017          0.000023          0.010297          0.008410          0.005840          0.000000          0.000000          0.000000          0.020807          0.000000
10              0.0000042170000                0.000000          0.000003          0.000010          0.011793          0.009733          0.006897          0.000000          0.000000          0.000000          0.024217          0.000000
10              0.0000047315000                0.000003          0.000003          0.000017          0.014323          0.011727          0.008107          0.000000          0.000000          0.000000          0.028707          0.000000
10              0.0000053088000                0.000000          0.000017          0.000013          0.016647          0.013837          0.009570          0.000000          0.000000          0.000000          0.033707          0.000000
10              0.0000059566000                0.000000          0.000020          0.000017          0.019603          0.016190          0.010863          0.000000          0.000000          0.000000          0.039747          0.000000
10              0.0000066834000                0.000000          0.000027          0.000027          0.022930          0.019047          0.012917          0.000000          0.000000          0.000000          0.046140          0.000000
10              0.0000074989000                0.000003          0.000010          0.000030          0.026940          0.022327          0.015213          0.000000          0.000000          0.000000          0.053913          0.000000
10              0.0000084140000                0.000000          0.000010          0.000033          0.031160          0.025470          0.017757          0.000000          0.000000          0.000000          0.062657          0.000000
10              0.0000094406000                0.000000          0.000027          0.000033          0.035953          0.030393          0.020593          0.000000          0.000000          0.000000          0.072963          0.000000
10              0.0000105930000                0.000003          0.000020          0.000037          0.041743          0.035090          0.023443          0.000000          0.000000          0.000000          0.084397          0.000000
10              0.0000118850000                0.000000          0.000040          0.000060          0.049250          0.040513          0.027357          0.000000          0.000000          0.000000          0.098407          0.000000
10              0.0000133350000                0.000003          0.000020          0.000067          0.056810          0.047073          0.031223          0.000000          0.000000          0.000000          0.114020          0.000000
10              0.0000149620000                0.000017          0.000040          0.000073          0.065577          0.053780          0.035843          0.000000          0.000000          0.000000          0.130020          0.000000
10              0.0000167880000                0.000000          0.000077          0.000100          0.073637          0.061627          0.040900          0.000000          0.000000          0.000000          0.148740          0.000000
10              0.0000188360000                0.000003          0.000053          0.000127          0.084343          0.069920          0.048087          0.000000          0.000000          0.000000          0.170960          0.000000
10              0.0000211350000                0.000010          0.000073          0.000133          0.096060          0.078790          0.053803          0.000000          0.000000          0.000000          0.192040          0.000000
10              0.0000237140000                0.000020          0.000120          0.000123          0.108750          0.089047          0.060963          0.000000          0.000000          0.000000          0.215380          0.000000
10              0.0000266070000                0.000013          0.000097          0.000200          0.122200          0.098767          0.068217          0.000000          0.000000          0.000000          0.242430          0.000000
10              0.0000298540000                0.000020          0.000123          0.000173          0.135790          0.110640          0.076720          0.000000          0.000000          0.000000          0.268310          0.000000
10              0.0000334970000                0.000013          0.000130          0.000297          0.150530          0.121450          0.084613          0.000000          0.000000          0.000000          0.295670          0.000000
10              0.0000375840000                0.000010          0.000167          0.000323          0.164960          0.131360          0.093410          0.000000          0.000000          0.000000          0.321580          0.000000
10              0.0000421700000                0.000043          0.000163          0.000380          0.179880          0.141570          0.100400          0.000000          0.000000          0.000000          0.347200          0.000000
10              0.0000473150000                0.000033          0.000240          0.000450          0.193360          0.150990          0.109670          0.000000          0.000000          0.000000          0.373570          0.000000
10              0.0000530880000                0.000047          0.000257          0.000573          0.205360          0.160110          0.117660          0.000000          0.000000          0.000000          0.390940          0.000000
10              0.0000595660000                0.000037          0.000273          0.000747          0.218120          0.166070          0.123460          0.000000          0.000000          0.000000          0.408780          0.000000
10              0.0000668340000                0.000073          0.000350          0.000873          0.227010          0.171300          0.129210          0.000000          0.000000          0.000000          0.421410          0.000000
10              0.0000749890000                0.000060          0.000323          0.000953          0.234070          0.174620          0.135080          0.000000          0.000000          0.000000          0.429300          0.000000
10              0.0000841400000                0.000033          0.000373          0.001240          0.237160          0.172890          0.138040          0.000000          0.000000          0.000000          0.428400          0.000000
10              0.0000944060000                0.000050          0.000493          0.001423          0.239100          0.171150          0.138370          0.000000          0.000000          0.000000          0.421380          0.000000
10              0.0001059300000                0.000090          0.000507          0.001657          0.236040          0.165450          0.139450          0.000000          0.000000          0.000000          0.409310          0.000000
10              0.0001188500000                0.000087          0.000537          0.002153          0.233600          0.160940          0.136740          0.000000          0.000000          0.000000          0.388500          0.000000
10              0.0001333500000                0.000123          0.000653          0.002483          0.226710          0.151070          0.133140          0.000000          0.000000          0.000000          0.362660          0.000000
